,"2,368,070","359,939","264,078",15.20,11.15,9.98,37.07,214.82,"30,692.79","3,841",21.09,"39,406",2.06,"2,994",3.70,77.95
2,"3,022,314","433,766","556,541",14.35,18.41,17.07,26.41,211.68,"38,144.29","8,057",6.86,"50,817",1.09,"1,444",2.61,17.92
3,"2,678,716","95,985","108,615",3.58,4.06,3.05,,,,"1,557",46.06,"51,121",1.40,"1,438",,
4,"777,815","141,214","113,246",18.15,14.56,15.13,39.34,202.26,"34,110.56","1,638",10.92,"45,106",1.54,,,
5,"772,036","140,970","110,988",18.26,14.38,15.10,36.64,219.39,"35,054.68","1,613",8.65,"46,937",1.21,,,
6,"767,817","108,520","93,892",14.13,12.23,13.42,36.35,226.19,"35,798.23","1,346",8.61,"49,387",1.08,,,
7,"704,646","43,061","238,414",6.11,33.84,17.07,26.41,211.68,"38,144.29","3,460",6.86,"50,817",1.09,,,
8,"637,454","6,402","15,746",1.00,2.47,13.71,26.21,210.35,"38,025.67",206,9.66,"51,529",1.24,,,
9,"621,311","2,190","11,387",0.35,1.83,,,,,110,654.79,,,,,
